City,District,Quarter,Net m²,Number of Rooms,Building Age,Floor Location,Number of Floors,Heating,Number of Baths,Balcony,Furnished,Price
Aydın,Efeler,Kemer,117,3+1,5-10 arası,2,2,Doğalgaz (Kombi),1,Var,Hayır,1575000
Aydın,Efeler,Orta,40,1+1,5-10 arası,2,4,Merkezi,1,Yok,Evet,655000
Aydın,Efeler,Orta,60,1+1,0,3,4,Merkezi,1,Var,Evet,920000
Aydın,Efeler,Ata,215,4+1,4,7,7,Doğalgaz (Kombi),2,Var,Hayır,2550000
Aydın,Efeler,Ata,110,2+1,0,2,3,Yerden Isıtma,1,Var,Hayır,1350000
Aydın,Efeler,Ata,190,4+1,0,3,3,Doğalgaz (Kombi),2,Var,Hayır,1590000
Aydın,Efeler,Cumhuriyet,100,3+1,16-20 arası,Yüksek Giriş,5,Doğalgaz (Kombi),1,Var,Hayır,890000
Aydın,Efeler,Mimar Sinan,150,3+1,3,3,3,Doğalgaz (Kombi),2,Var,Hayır,1760000
Aydın,Efeler,Köprülü - Veysipaşa,105,3+1,31 ve üzeri,Müstakil,1,Kat Kaloriferi,2,Var,Belirtilmemiş,1680000
Aydın,Efeler,Ata,85,2+1,3,1,3,Doğalgaz (Kombi),1,Var,Hayır,1250000
Aydın,Efeler,Adnan Menderes,100,2+1,1,2,4,Doğalgaz (Kombi),2,Var,Hayır,2450000
Aydın,Efeler,Köprülü - Veysipaşa,150,3+1,21-25 arası,4,4,Soba,1,Var,Hayır,1200000
Aydın,Efeler,Zafer,55,2+0,11-15 arası,3,5,Klima,1,Var,Evet,815000
Aydın,Efeler,Ata,85,2+1,1,4,4,Doğalgaz (Kombi),1,Var,Hayır,1300000
Aydın,Efeler,Orta,75,2+1,4,1,4,Merkezi,1,Var,Evet,850000
Aydın,Efeler,Güzelhisar,100,2+1,2,3,5,Doğalgaz (Kombi),1,Var,Hayır,1380000
Aydın,Efeler,Girne,80,2+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1550000
Aydın,Efeler,Mesudiye,120,3+1,31 ve üzeri,5,5,Doğalgaz (Kombi),1,Var,Hayır,875000
Aydın,Efeler,Girne,115,3+1,11-15 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,1320000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,130,3+1,11-15 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,970000
Aydın,Efeler,Cumhuriyet,105,3+1,26-30 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,890000
Aydın,Efeler,Efeler,50,2+1,1,2,5,Doğalgaz (Kombi),1,Var,Hayır,1200000
Aydın,Efeler,Zeybek,150,3+1,4,1,4,Doğalgaz (Kombi),2,Var,Hayır,3000000
Aydın,Efeler,Yedi Eylül,125,3+1,21-25 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,1220000
Aydın,Efeler,Güzelhisar,155,3+1,31 ve üzeri,3,5,Klima,1,Var,Hayır,1000000
Aydın,Efeler,Güzelhisar,50,1+1,0,6,6,Doğalgaz (Kombi),1,Var,Evet,850000
Aydın,Efeler,Mimar Sinan,140,3+1,2,3,3,Doğalgaz (Kombi),1,Var,Hayır,1550000
Aydın,Efeler,Cumhuriyet,160,3+1,0,5,5,Doğalgaz (Kombi),2,Var,Hayır,2000000
Aydın,Efeler,Mimar Sinan,140,3+1,11-15 arası,4,7,Doğalgaz (Kombi),2,Var,Hayır,1645000
Aydın,Efeler,Zafer,60,2+1,5-10 arası,2,5,Doğalgaz (Kombi),1,Yok,Evet,875000
Aydın,Efeler,Ata,35,1+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,900000
Aydın,Efeler,Adnan Menderes,260,5+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,2650000
Aydın,Efeler,Meşrutiyet,160,3+1,21-25 arası,1,6,Doğalgaz (Kombi),1,Var,Hayır,1650000
Aydın,Efeler,Mimar Sinan,110,2+1,5-10 arası,Yüksek Giriş,3,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Zafer,55,2+0,11-15 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,860000
Aydın,Efeler,Zafer,50,1+1,1,2,5,Doğalgaz (Kombi),1,Var,Evet,875000
Aydın,Efeler,Güzelhisar,120,3+1,31 ve üzeri,3,3,Doğalgaz (Kombi),1,Var,Hayır,850000
Aydın,Efeler,Mimar Sinan,190,3+1,2,2,2,Doğalgaz (Kombi),2,Var,Hayır,7000000
Aydın,Efeler,Cumhuriyet,120,3+1,26-30 arası,3,4,Yok,1,Var,Hayır,850000
Aydın,Efeler,Orta,85,2+1,4,2,5,Doğalgaz (Kombi),1,Var,Evet,995000
Aydın,Efeler,Meşrutiyet,125,3+1,31 ve üzeri,Zemin Kat,4,Soba,1,Yok,Hayır,1000000
Aydın,Efeler,Ata,85,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,1230000
Aydın,Efeler,Güzelhisar,90,2+1,16-20 arası,5,5,Soba,1,Var,Hayır,675000
Aydın,Efeler,Fatih,120,3+1,5-10 arası,6,6,Doğalgaz (Kombi),2,Var,Hayır,1900000
Aydın,Efeler,Ata,110,2+1,3,3,4,Doğalgaz (Kombi),1,Var,Hayır,1450000
Aydın,Efeler,Güzelhisar,82,2+1,0,4,5,Doğalgaz (Kombi),1,Var,Hayır,1420000
Aydın,Efeler,Ata,125,2+1,0,6,7,Doğalgaz (Kombi),2,Var,Hayır,1750000
Aydın,Efeler,Güzelhisar,120,3+1,21-25 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Girne,88,2+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1475000
Aydın,Efeler,Girne,130,4+1,4,3,3,Doğalgaz (Kombi),2,Var,Hayır,1650000
Aydın,Efeler,İstiklal,135,3+1,0,2,4,Doğalgaz (Kombi),1,Var,Evet,1650000
Aydın,Efeler,Zafer,51,1+1,0,3,4,Yerden Isıtma,1,Var,Evet,850000
Aydın,Efeler,Efeler,55,1+1,3,4,5,Doğalgaz (Kombi),1,Var,Evet,830000
Aydın,Efeler,Orta,55,1+1,0,3,3,Doğalgaz (Kombi),1,Var,Hayır,855000
Aydın,Efeler,Orta,42,1+1,1,3,4,Doğalgaz Sobası,1,Yok,Evet,850000
Aydın,Efeler,Mimar Sinan,175,3+1,5-10 arası,5,8,Merkezi,1,Var,Hayır,2950000
Aydın,Efeler,Meşrutiyet,165,3+1,5-10 arası,1,5,Doğalgaz (Kombi),2,Var,Hayır,1550000
Aydın,Efeler,Zafer,40,1+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,1000000
Aydın,Efeler,Efeler,45,1+1,4,4,5,Merkezi (Pay Ölçer),1,Var,Evet,850000
Aydın,Efeler,Orta,85,2+1,11-15 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,850000
Aydın,Efeler,Meşrutiyet,130,3+1,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,1850000
Aydın,Efeler,Zafer,60,1+1,1,Giriş Katı,3,Yerden Isıtma,1,Yok,Evet,770000
Aydın,Efeler,Ata,95,2+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,1250000
Aydın,Efeler,Meşrutiyet,120,3+1,5-10 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,1750000
Aydın,Efeler,Orta,90,2+1,26-30 arası,4,5,Yok,1,Var,Hayır,740000
Aydın,Efeler,Ata,120,3+1,0,3,3,Doğalgaz (Kombi),2,Var,Hayır,1750000
Aydın,Efeler,Kurtuluş,110,2+1,21-25 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,1140000
Aydın,Efeler,Mimar Sinan,250,5+1,5-10 arası,3,3,Doğalgaz (Kombi),4,Var,Hayır,4900000
Aydın,Efeler,Kemer,160,3+1,4,4,6,Doğalgaz (Kombi),2,Var,Hayır,2700000
Aydın,Efeler,Efeler,150,3+1,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,2220000
Aydın,Efeler,Orta,90,2+1,3,3,3,Doğalgaz (Kombi),2,Var,Hayır,990000
Aydın,Efeler,Efeler,130,3+1,1,4,4,Doğalgaz (Kombi),1,Var,Hayır,1950000
Aydın,Efeler,Güzelhisar,95,2+1,0,3,5,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Cuma,165,4+1,26-30 arası,1,5,Soba,1,Var,Belirtilmemiş,900000
Aydın,Efeler,Zafer,60,2+0,5-10 arası,3,4,Klima,1,Var,Evet,775000
Aydın,Efeler,Fatih,160,4+1,4,4,4,Doğalgaz (Kombi),2,Var,Hayır,2075000
Aydın,Efeler,Ata,120,3+1,16-20 arası,Giriş Katı,3,Doğalgaz (Kombi),1,Var,Belirtilmemiş,750000
Aydın,Efeler,Kurtuluş,45,1+1,21-25 arası,Müstakil,1,Soba,1,Var,Hayır,460000
